Att,Disp,Min_BER,MAX_Q_FACTOR
0.25,17.55,0.0041,0.2641037
0.25,17.65,0.0042295,0
0.26,12.75,0.004359,0.262131
0.26,12.95,0.01245,0.2234414
0.26,13.15,0.506225,0
0.26,13.35,0.254805,0
0.26,13.55,0.003385,0.2702878
0.26,13.75,0.006321,0.2493607
0.26,13.95,0.011181,0.227838
0.26,14.15,0.007761,0.2417797
0.26,14.35,0.012778,0.2232057
0.26,14.55,0.003557,0.2690911
0.26,14.75,0.005539,0.2533605
0.26,14.95,0.005539,0
0.26,15.15,0.5027695,0
0.26,15.35,0.25409925,0
0.26,15.55,0.005429,0.2546193
0.26,15.75,0.005429,0
0.26,15.95,0.011946,0
0.26,16.15,0.018463,0.2078216
0.26,16.35,0.011475,0
0.26,16.55,0.004487,0.2607311
0.26,16.75,0.014532,0.2179144
0.26,16.95,0.0181505,0
0.26,17.15,0.021769,0.2012953
0.26,17.35,0.01378,0.2201513
0.26,17.55,0.013232,0.2215752
0.26,17.65,0.0129215,0
0.27,12.75,0.012611,0.2236764
0.27,12.95,0.027426,0.1910574
0.27,13.15,0.027426,0
0.27,13.35,0.027426,0
0.27,13.55,0.009467,0.2342677
0.27,13.75,0.009467,0
0.27,13.95,0.009467,0
0.27,14.15,0.01857,0.2082239
0.27,14.35,0.01857,0
0.27,14.55,0.01857,0
0.27,14.75,0.014224,0.2183707
0.27,14.95,0.014224,0
0.27,15.15,0.014224,0
0.27,15.35,0.014224,0
0.27,15.55,0.014224,0
0.27,15.75,0.014224,0
0.27,15.95,0.014224,0
0.27,16.15,0.014224,0
0.27,16.35,0.014224,0
0.27,16.55,0.014224,0.2316552
0.27,16.75,0.014224,0
0.27,16.95,0.014224,0
0.27,17.15,0.014224,0
0.27,17.35,0.014224,0
0.27,17.55,0.014224,0
0.27,17.65,0.014224,0
0.28,12.75,0.014224,0
0.28,12.95,0.014224,0
0.28,13.15,0.014224,0
0.28,13.35,0.014224,0
0.28,13.55,0.022191,0.2007122
0.28,13.75,1,0
0.28,13.95,1,0
0.28,14.15,1,0
0.28,14.35,1,0
0.28,14.55,1,0
0.28,14.75,1,0
0.28,14.95,1,0
0.28,15.15,1,0
0.28,15.35,1,0
0.28,15.55,1,0
0.28,15.75,1,0
0.28,15.95,1,0
0.28,16.15,1,0
0.28,16.35,1,0
0.28,16.55,1,0
0.28,16.75,1,0
0.28,16.95,1,0
0.28,17.15,1,0
0.28,17.35,1,0
0.28,17.55,1,0
0.28,17.65,1,0
0.29,12.75,1,0
0.29,12.95,1,0
0.29,13.15,1,0
0.29,13.35,1,0
0.29,13.55,1,0
0.29,13.75,1,0
0.29,13.95,1,0
0.29,14.15,1,0
0.29,14.35,1,0
0.29,14.55,1,0
0.29,14.75,1,0
0.29,14.95,1,0
0.29,15.15,1,0
0.29,15.35,1,0
0.29,15.55,1,0
0.29,15.75,1,0
0.29,15.95,1,0
0.29,16.15,1,0
0.29,16.35,1,0
0.29,16.55,1,0
0.29,16.75,1,0
0.29,16.95,1,0
0.29,17.15,1,0
0.29,17.35,1,0
0.29,17.55,1,0
0.29,17.65,1,0
0.3,12.75,1,0
0.3,12.75,0,0.6122955
0.3,12.95,1,0
0.3,12.95,0,0.5900702
0.3,13.15,1,0
0.3,13.15,0,0.582605
0.3,13.35,1,0
0.3,13.35,0,0.5710041
0.3,13.55,1,0
0.3,13.55,0,0.5702887
0.3,13.75,1,0
0.3,13.75,0,0.567289
0.3,13.95,1,0
0.3,13.95,0,0.5451066
0.3,14.15,1,0
0.3,14.15,0,0.5373748
0.3,14.35,1,0
0.3,14.35,0,0.5282633
0.3,14.55,1,0
0.3,14.55,0,0.5228658
0.3,14.75,1,0
0.3,14.75,0,0.5156991
0.3,14.95,1,0
0.3,14.95,0,0.4959017
0.3,15.15,1,0
0.3,15.15,0,0.4925162
0.3,15.35,1,0
0.3,15.35,1,0
0.3,15.55,1,0
0.3,15.55,1,0
0.3,15.75,1,0
0.3,15.75,1,0
0.3,15.95,1,0
0.3,15.95,1,0
0.3,16.15,1,0
0.3,16.15,1,0
0.3,16.35,1,0
0.3,16.35,1,0
0.3,16.55,1,0
0.3,16.55,1,0
0.3,16.75,1,0
0.3,16.75,1,0
0.3,16.95,1,0
0.3,16.95,1,0
0.3,17.15,1,0
0.3,17.15,1,0
0.3,17.35,1,0
0.3,17.35,1,0
0.3,17.55,1,0
0.3,17.55,1,0
0.3,17.65,1,0
0.3,17.65,1,0
0.31,12.75,0,0.6108253
0.31,12.95,0,0.5863446
0.31,13.15,0,0.5796838
0.31,13.35,0,0.567216
0.31,13.55,0,0.568467
0.31,13.75,0,0.5663055
0.31,13.95,0,0.5421556
0.31,14.15,0,0.5349432
0.31,14.35,0,0.5258741
0.31,14.55,0,0.5214462
0.31,14.75,0,0.514875
0.31,14.95,0,0.4928818
0.31,15.15,0,0.4904779
0.31,15.35,1,0
0.31,15.55,1,0
0.31,15.75,1,0
0.31,15.95,1,0
0.31,16.15,1,0
0.31,16.35,1,0
0.31,16.55,1,0
0.31,16.75,1,0
0.31,16.95,1,0
0.31,17.15,1,0
0.31,17.35,1,0
0.31,17.55,1,0
0.31,17.65,1,0
0.32,12.75,0,0.608795
0.32,12.95,0,0.5816944
0.32,13.15,0,0.5760721
0.32,13.35,0,0.5624551
0.32,13.55,0,0.5661712
0.32,13.75,0,0.5648492
0.32,13.95,0,0.5384372
0.32,14.15,0,0.5319467
0.32,14.35,0,0.5228454
0.32,14.55,0,0.5196942
0.32,14.75,0,0.5138141
0.32,14.95,0,0.4891787
0.32,15.15,0.000001,0.487959
0.32,15.35,1,0
0.32,15.55,1,0
0.32,15.75,1,0
0.32,15.95,1,0
0.32,16.15,1,0
0.32,16.35,1,0
0.32,16.55,1,0
0.32,16.75,1,0
0.32,16.95,1,0
0.32,17.15,1,0
0.32,17.35,1,0
0.32,17.55,1,0
0.32,17.65,1,0
0.33,12.75,0,0.6058634
0.33,12.95,0,0.57572
0.33,13.15,0,0.571481
0.33,13.35,0,0.5563627
0.33,13.55,0,0.5631526
0.33,13.75,0,0.56261
0.33,13.95,0,0.5336807
0.33,14.15,0,0.528169
0.33,14.35,0,0.5188738
0.33,14.55,0,0.5173907
0.33,14.75,0,0.512309
0.33,14.95,0.000001,0.4845364
0.33,15.15,0.000001,0.4847648
0.33,15.35,1,0
0.33,15.55,1,0
0.33,15.75,1,0
0.33,15.95,1,0
0.33,16.15,1,0
0.33,16.35,1,0
0.33,16.55,1,0
0.33,16.75,1,0
0.33,16.95,1,0
0.33,17.15,1,0
0.33,17.35,1,0
0.33,17.55,1,0
0.33,17.65,1,0
0.34,12.75,0,0.6017997
0.34,12.95,0,0.5679596
0.34,13.15,0,0.5655401
0.34,13.35,0,0.548554
0.34,13.55,0,0.5591309
0.34,13.75,0,0.5591457
0.34,13.95,0,0.5274435
0.34,14.15,0,0.5232837
0.34,14.35,0,0.5135766
0.34,14.55,0,0.5143038
0.34,14.75,0,0.5101164
0.34,14.95,0.000001,0.4786623
0.34,15.15,0.000001,0.4806364
0.34,15.35,1,0
0.34,15.55,1,0
0.34,15.75,1,0
0.34,15.95,1,0
0.34,16.15,1,0
0.34,16.35,1,0
0.34,16.55,1,0
0.34,16.75,1,0
0.34,16.95,1,0
0.34,17.15,1,0
0.34,17.35,1,0
0.34,17.55,1,0
0.34,17.65,1,0
0.35,12.75,0,0.595933
0.35,12.95,0,0.5578451
0.35,13.15,0,0.5577405
0.35,13.35,0,0.5384932
0.35,13.55,0,0.5539935
0.35,13.75,0,0.5538576
0.35,13.95,0,0.519245
0.35,14.15,0,0.5169105
0.35,14.35,0,0.5064683
0.35,14.55,0,0.5100919
0.35,14.75,0,0.5068605
0.35,14.95,0.000001,0.4711599
0.35,15.15,0.000001,0.4752137
0.35,15.35,1,0
0.35,15.55,1,0
0.35,15.75,1,0
0.35,15.95,1,0
0.35,16.15,1,0
0.35,16.35,1,0
0.35,16.55,1,0
0.35,16.75,1,0
0.35,16.95,1,0
0.35,17.15,1,0
0.35,17.35,1,0
0.35,17.55,1,0
0.35,17.65,1,0
0.36,12.75,0,0.5873906
0.36,12.95,0,0.5447029
0.36,13.15,0,0.5474849
0.36,13.35,0,0.5254721
0.36,13.55,0,0.5468177
0.36,13.75,0,0.5459969
0.36,13.95,0,0.5084675
0.36,14.15,0,0.5085288
0.36,14.35,0,0.4969382
0.36,14.55,0,0.5043131
